sự tàn bạo	0.959
sự thù ghét	0.953
khủng bố	0.939
tức điên lên	0.938
kẻ giết người	0.922
cơn giận	0.922
chấp hành	0.917
khốn kiếp	0.912
giận dữ	0.911
sự chết tiệt	0.906
fucktard	0.906
lông thú	0.900
Hostile	0.898
hoành hành	0.896
hãm hiếp	0.894
hung dữ	0.894
xóa sạch	0.894
làm say đắm	0.894
gofuckyourself	0.886
luẩn quẩn	0.884
đe doạ	0.882
pissoff	0.875
abhorrent	0.875
khát máu	0.875
trận đánh	0.868
tiêu diệt	0.865
angriest	0.864
đổ máu	0.864
smite	0.862
brawl	0.861
ám sát	0.859
bóp nghẹt	0.859
NULL	0.859
nổ tung	0.859
không ưa	0.857
Địa ngục	0.853
chủ nghĩa khủng bố	0.851
đánh đập	0.849
sự tha tội	0.848
pissingmeoff	0.848
tức giận	0.844
giết mổ	0.844
cú đâm	0.844
hung bạo	0.844
sự ghê tởm	0.844
xôn xao	0.844
- tức giận	0.844
bôi	0.843
thù địch	0.837
tra tấn	0.833
rabid	0.833
ghét bỏ	0.828
ma quỷ	0.828
ghét	0.828
thuộc về satan	0.828
đáng khinh	0.828
hủy diệt	0.824
phá hủy	0.824
cuộc bạo loạn	0.824
dickhead	0.824
sống động	0.821
người điên	0.820
tranh cãi	0.819
độc hại	0.818
hung hăng	0.818
hăm dọa	0.818
kẻ khủng bố	0.818
abhor	0.816
tàn sát	0.814
dã man	0.812
bối rối	0.812
sự lạm dụng	0.812
bạo chúa	0.812
làm tình	0.812
khốc liệt	0.812
tàu khu trục	0.812
pissesmeoff	0.812
bốc khói	0.812
Sự phẫn nộ	0.811
pieceofshit	0.810
sập	0.803
đấm	0.803
chó cái	0.803
xấu xa	0.797
tát	0.791
tàn ác	0.788
lò mổ	0.788
bị phá hủy	0.788
bạo loạn	0.788
growthefuckup	0.788
ngộ sát	0.783
sự xung đột	0.783
nổ	0.781
dính máu	0.781
cuộc tranh cãi	0.781
nham hiểm	0.781
sự rút lui	0.773
madder	0.773
thương tâm	0.766
bom	0.766
vô chính phủ	0.765
Cơn bão lửa	0.765
đáng trách	0.764
hung ác	0.758
đập vỡ	0.758
rant	0.758
bùng nổ	0.757
douchebags	0.750
stfu	0.750
sự thô tục	0.750
dontmesswithme	0.750
kinh dị	0.750
la hét	0.742
fucked	0.742
phun ra	0.742
bạo lực	0.742
quấy rầy	0.742
bastards	0.741
tai biến	0.735
đe dọa	0.735
con quỷ	0.735
nghiền nát	0.735
flog	0.734
cuộc nổi loạn	0.734
thrash	0.734
deplore	0.734
chiến tranh	0.734
kịch liệt	0.734
hiếu chiến	0.728
phá hoại	0.727
sự thay đổi	0.727
thiến	0.727
ác ý	0.721
đình công	0.721
thảm họa	0.721
tai hại	0.720
giết người	0.719
tàn bạo	0.719
khinh bỉ	0.719
madden	0.719
ác quỷ	0.719
hét lên	0.719
thiêu đốt	0.719
vermin	0.719
arseholes	0.719
móng ngựa	0.719
làm trầm trọng thêm	0.719
nghẹt thở	0.719
bastarding	0.719
chủ nghĩa vô chính phủ	0.714
cắt xén	0.714
cú đấm	0.713
chết người	0.712
đóng đinh	0.712
độc lực	0.712
thiêu hủy	0.712
dumbasses	0.712
bị quấy rầy	0.706
gớm ghiếc	0.706
tà ác	0.706
bị kích thích	0.706
bức hại	0.703
kẻ ám sát	0.703
dicks	0.703
slayer	0.703
bắt cóc	0.703
la mắng	0.703
sự hăm doạ	0.703
trầm trọng hơn	0.703
Hiếu chiến	0.702
chất độc	0.697
nọc độc	0.697
trận chiến	0.697
oán giận	0.691
xảo quyệt	0.691
kẻ tấn công	0.691
khinh thường	0.690
lynch	0.690
ôn hòa	0.688
sự bỏ tù	0.688
đầu gấu	0.688
khủng khiếp	0.688
lunatic	0.688
nguyền rủa	0.688
Khiến tôi phát điên	0.688
nhăn nhó	0.688
sự thống trị	0.688
infanticide	0.688
diệt trừ	0.682
cơn giận dữ	0.682
scoundrel	0.682
tích cực	0.680
chế độ độc tài	0.676
lời tục tĩu	0.673
lên án	0.672
tàn nhẫn	0.672
bẩn thỉu	0.672
tình tiết tăng nặng	0.672
nghiêm trọng	0.672
khám phá	0.672
xô	0.672
bắn	0.672
khinh miệt	0.672
độc	0.672
dastardly	0.672
hư hỏng	0.672
nghiền	0.672
tội ác	0.672
maniac	0.670
chiến đấu	0.667
phun trào	0.667
chụp	0.667
đánh	0.667
Cáu kỉnh	0.667
bị phạt	0.662
phục kích	0.661
la lên	0.661
hận thù	0.656
độc ác	0.656
kẻ xâm lăng	0.656
antichrist	0.656
gore	0.656
hương	0.656
sự phá hủy	0.656
cáu kỉnh	0.653
trả thù	0.652
bị xúc phạm	0.652
sự nổi loạn	0.652
nô lệ	0.652
sự thù địch	0.652
gầm gừ	0.649
đao phủ	0.644
twat	0.644
ngày tận thế	0.643
phẫn nộ	0.641
sự tàn phá	0.641
daemon	0.641
tục tĩu	0.641
spat	0.641
mối thù hận	0.641
grr	0.641
arson	0.641
không thể tha thứ	0.641
còng	0.641
đá	0.636
đánh đòn	0.636
vết thương	0.636
bị đầu độc	0.636
Bột nhồi	0.636
treo	0.636
kinh tởm	0.636
tình trạng hỗn loạn	0.636
lườm	0.636
gây thiệt	0.633
đắm	0.633
hình chữ vạn	0.627
quấy rối	0.625
truy tố	0.625
sự nghẹt thở	0.625
xung đột	0.625
sự khiêu khích	0.625
tai họa	0.625
chửi rủa	0.625
phản bội	0.625
cuộc đột kích	0.625
sấm sét	0.625
làm nô lệ	0.625
arsehole	0.624
điên	0.621
bạn bè	0.621
giật	0.621
trộm cắp	0.621
sự trả thù	0.621
sự thiếu thốn	0.621
cussed	0.619
twats	0.609
người đàn áp	0.609
chế độ nô lệ	0.609
cáu gắt	0.609
va chạm	0.609
cay đắng	0.609
băng nhóm	0.609
đối kháng	0.609
ắc quy	0.609
bất lợi	0.609
bắn phá	0.606
Cuộc cách mạng	0.606
du côn	0.606
diatribe	0.606
vụ nổ	0.606
irks	0.606
đau ốm	0.606
phân biệt đối xử	0.606
ranting	0.606
lỗ đít	0.606
làm tổn thương	0.603
Thao tác	0.603
sự căng thẳng	0.603
bigot	0.603
ghê tởm	0.602
mặc dù	0.600
sự khắc nghiệt	0.597
bùn	0.596
tấn công	0.594
địa ngục	0.594
khốn khổ	0.594
cuộc xâm lăng	0.594
khổ sở	0.594
bão tố	0.594
tai nạn	0.594
sự cay đắng	0.594
bệnh tật	0.594
tempest	0.594
sự chói tai	0.592
depraved	0.591
raving	0.591
máy chém	0.591
cưỡng bức	0.591
chế ngự	0.591
bị buộc tội	0.588
ngoan cố	0.588
kẻ xâm lược	0.588
sợ hãi	0.588
hơi say	0.588
sự phẫn nộ	0.587
vexed	0.586
đối đầu	0.582
brute	0.581
ga	0.579
tội phạm	0.578
hư hại	0.578
xác tàu	0.578
súng lục ổ quay	0.578
đĩ	0.578
yousuck	0.578
người bán thịt	0.578
cuộc xung đột	0.578
cãi nhau	0.578
ngọn lửa	0.578
cuộc đảo chính	0.578
khiêu khích	0.578
dây da roi	0.578
ung thư	0.577
nguy hiểm	0.576
xáo trộn	0.576
báng bổ	0.576
gory	0.576
sự xa lánh	0.576
grope	0.576
hạ mình	0.576
phân biệt	0.576
súng	0.576
đâm	0.574
sneer	0.574
lunacy	0.574
áp bức	0.574
bị nguyền rủa	0.574
tính quái dị	0.574
shit	0.573
làm méo mó	0.571
gạch chéo	0.571
không công bằng	0.571
giá treo cổ	0.570
leo thang	0.569
không dung nạp	0.564
vô luật pháp	0.563
xâm lược	0.562
xanh xao	0.562
sự hư hỏng	0.562
grouchy	0.562
ngư lôi	0.562
bị lừa dối	0.562
vu khống	0.562
làm chậm	0.562
sự giảm giá	0.562
ống thổi	0.562
quái thú	0.562
chói lóa	0.562
ghê gớm	0.562
kẻ phản bội	0.562
hung tinh	0.562
sự vặn vẹo	0.562
sự phản bội	0.561
tàn phá	0.561
bất đồng	0.561
banshee	0.561
làm vỡ	0.561
sự đốt cháy	0.561
gây nguy hiểm	0.561
tên trộm	0.561
rave	0.561
ghê tai	0.561
kẻ ngốc	0.561
không kiểm soát được	0.561
phù hợp	0.561
vượt qua	0.561
đau	0.561
bị làm phiền	0.559
dậm chân	0.557
vồ lấy	0.557
sự đau khổ	0.556
đánh dấu	0.556
sự thách thức	0.552
tống tiền	0.550
phản cảm	0.549
chê bai	0.548
nổi loạn	0.547
sự trừng phạt	0.547
sự vi phạm	0.547
chói tai	0.547
đáng hổ thẹn	0.547
hách	0.547
khác biệt	0.547
giam cầm	0.547
súng cầm tay	0.547
ăn cắp	0.546
hủy hoại	0.545
mối đe dọa	0.545
tranh luận	0.545
đụng độ	0.545
wanker	0.545
đun nóng	0.545
làm nhục	0.545
âm mưu	0.545
Hôi	0.545
nhân vật phản diện	0.545
định kiến	0.545
sự nhẫn nại	0.545
vướng vào	0.544
sting	0.544
phản đối kịch liệt	0.544
càu nhàu	0.544
không thể hòa giải	0.543
sức đề kháng	0.543
tắc nghẽn	0.542
đám đông	0.538
sự xấu xa	0.536
gây cháy	0.533
pháo sáng	0.532
cáo buộc	0.531
giam giữ	0.531
sự thoái hóa	0.531
sự trầm trọng	0.531
thành kiến	0.531
cuộc nổi dậy	0.531
liều lĩnh	0.531
không bị kiềm chế	0.531
chủ nghĩa cộng sản	0.531
roi da	0.531
kẻ đột nhập	0.531
tranh chấp	0.531
chê	0.531
bất hòa	0.530
giải quyết	0.530
to lớn	0.530
người phạm tội	0.530
rắc rối	0.530
độc tài	0.530
không thể điều chỉnh được	0.530
sự đảo lộn	0.530
xâm phạm	0.529
renegade	0.529
nóng bức	0.529
tự tử	0.521
để tôi yên	0.517
chỉ trích	0.516
ngu ngốc	0.516
