ho koaloa	0.930
ho nyalana	0.914
gonorrhea	0.906
ho betoa	0.906
kannete	0.898
bola	0.891
mantle	0.883
polao	0.875
barf	0.875
holo ea polao	0.867
rancid	0.859
bigot	0.859
infestation	0.852
holo	0.852
ho bola	0.844
magote	0.844
sesepa	0.844
fecal	0.844
ho bolaea	0.839
infanticide	0.836
Sebono	0.836
e le makhoba	0.836
selemo	0.828
tlhokofatso	0.828
ho hlajoa	0.828
gory	0.820
ho fetohela	0.820
sekhukhuni	0.820
shit	0.820
ho bolaea batho	0.812
bokhoba	0.812
sekepe	0.812
hlatsa	0.812
cadaver	0.812
ho fokola ha mali	0.805
likhoerekhoere	0.797
likokoana-hloko	0.789
puke	0.789
e koetsoe	0.789
ea bolaeang	0.789
herpes	0.789
sesebelisoa	0.781
ho itšoara hantle	0.781
monstrosity	0.781
ho bolaoa	0.781
lefu la seoa	0.781
malaria	0.781
e bolotsana	0.773
lepera	0.773
morgue	0.773
pus	0.773
herpesvirus	0.773
ho tsosolosa	0.766
anthrax	0.766
lynch	0.766
dissection	0.759
sehlōhō	0.758
khamera	0.758
slum	0.758
mucous	0.758
phlegm	0.758
leeches	0.750
bademona	0.742
ho nkha hampe	0.742
septic	0.742
bile	0.742
soiled	0.742
mucus	0.742
e kulang	0.742
ho feta	0.734
ho pholloa	0.734
kankere	0.734
bokhukhuni	0.734
letšollo	0.727
bofebe	0.727
baktheria	0.727
diabolical	0.727
grisly	0.727
pheta-pheta	0.727
enema	0.727
e litšila	0.719
tšoaetso	0.719
e senyehileng	0.719
kena	0.719
autopsy	0.719
e tebileng	0.719
entrails	0.719
e na le maikutlo a fosahetseng	0.719
tšollo ea mali	0.714
silafatsa	0.711
tyrant	0.711
ho nyekeloa ke pelo	0.711
gag	0.711
ho phopholetsa	0.703
slut	0.703
e silafetseng	0.703
bootsoa	0.703
slimy	0.703
nauseate	0.703
ho patoa	0.703
ho ts'oara	0.703
masapole	0.696
ho hlekefetsoa	0.695
ho ipolaea	0.695
e tšoaetsanoang	0.695
hellish	0.695
lehare	0.695
botenya	0.695
sekoti	0.695
e silafalitsoe	0.688
maloetse	0.688
tsosa	0.688
peloworm	0.688
smut	0.688
tšilafalo	0.680
k'holera	0.680
ba holofetseng	0.680
e nyonya	0.680
mohanyetsi oa Kreste	0.680
freakish	0.680
e nyenyane	0.680
kokoana-hloko	0.680
lihele	0.680
ho busa	0.672
e se nang botho	0.672
mebala	0.672
ho pata	0.672
ho nyonyeha	0.672
Diabolose	0.664
leqeba	0.664
e bolaeang	0.664
likolobe	0.664
masochism	0.664
chefo	0.656
e chefo	0.656
libaktheria	0.656
lefu	0.656
ho nts'a mpa	0.656
bobolu	0.656
ba hlokofalitsoe	0.656
goo	0.656
matloana	0.656
ho tšosa	0.656
ho ba le boikemelo	0.648
hotela	0.648
sludge	0.648
bitch	0.648
malfeasance	0.641
pimple	0.641
u hlokomele	0.641
hahahaha	0.641
cystic	0.641
ho laxative	0.641
sebe	0.633
khatello	0.633
e theotsoe	0.633
doomsday	0.633
botekatse	0.633
seso	0.633
secrete	0.633
moetsi oa molao	0.633
rat	0.633
ho le thata	0.633
hlobo	0.633
ha ho joalo	0.625
mahloriso	0.625
diabolose	0.625
ho nyenyeha	0.625
fungus	0.625
bonyollo	0.625
setulo	0.625
cuckold	0.625
bloated	0.625
e kotsi	0.617
ho eka	0.617
guillotine	0.617
tšoaetsa	0.617
tetanase	0.617
louse	0.617
lenyalo la sethepu	0.617
ho khabisa	0.617
ho felloa ke nako	0.617
khaled	0.617
shoa	0.617
senepa	0.617
ho tletse	0.609
nyonya	0.609
drool	0.609
ho etselletsa	0.609
moroetsana	0.609
ghetto	0.609
ka mabifi	0.609
masapo	0.609
ho tsoa madi	0.609
ha e hlatsoe	0.602
ho iphelisa	0.602
ho koalloa teronkong	0.602
ho hloka	0.602
moeki	0.602
bobebe	0.602
musty	0.602
poaching	0.602
Hag	0.602
seoa	0.594
marotholi	0.594
raselakha	0.594
lunatic	0.594
maqeba	0.594
ho pheta-pheta	0.594
thug	0.594
ntloana	0.594
slug	0.594
tahiloeng	0.594
blister	0.594
e thetsang	0.594
lurid	0.594
moetsalibe	0.594
e tšosang	0.586
incubus	0.586
ho hlatsoa	0.586
ho hlekefetsa	0.586
o sa hloeka	0.586
letekatse	0.586
litšoantšo tsa bootsoa	0.586
ba sa tšepahaleng	0.578
rash	0.578
ho tlotlolla	0.578
