cắt xén	0.930
quấy rầy	0.914
tội loạn luân	0.914
bệnh lậu	0.906
hãm hiếp	0.906
ăn thịt người	0.898
thúi	0.891
phân đoạn	0.883
lò mổ	0.867
ôi	0.859
hệ thống thoát nước	0.859
loạn luân	0.859
bigot	0.859
tai họa	0.852
khát máu	0.852
thiêu hủy	0.852
thối rữa	0.844
sâu non	0.844
infanticide	0.836
lỗ đít	0.836
làm nô lệ	0.836
giết mổ	0.828
gore	0.828
tra tấn	0.828
làm ô uế	0.821
biến thái	0.820
kẻ giết người	0.820
gory	0.820
người ăn năn	0.820
sự tha tội	0.820
kỳ cục	0.820
bệnh tiêu chảy	0.820
phân chuồng	0.820
kẻ khủng bố	0.820
shit	0.820
xác chết	0.812
phân	0.812
chế độ nô lệ	0.812
cống	0.812
nôn mửa	0.812
ngộ sát	0.812
phân chia	0.812
xuất huyết	0.805
nước thải	0.797
bị bệnh	0.797
thân thịt	0.795
giết người	0.789
phân hủy	0.789
vermin	0.789
âm hộ	0.789
ký sinh trùng	0.789
bị cắt xén	0.789
bị hư	0.789
herpes	0.789
tàn sát	0.781
chất nhờn	0.781
đầy hơi	0.781
tính quái dị	0.781
bệnh dịch	0.781
bệnh sốt rét	0.781
crap	0.781
xảo quyệt	0.773
bệnh phong	0.773
nhà xác	0.773
mủ	0.773
herpesvirus	0.773
con điếm	0.766
hung ác	0.766
sự hối hận	0.766
sự rút lui	0.766
sự hồi sinh	0.766
bệnh than	0.766
lynch	0.766
mổ xẻ	0.759
sự đảo lộn	0.758
tà ác	0.758
đờm	0.758
đỉa	0.750
sự phân hủy	0.750
hư hỏng	0.750
chất nhầy	0.742
con quỷ	0.742
hôi thúi	0.742
tự hoại	0.742
bị quấy rầy	0.742
mật	0.742
sự ghê tởm	0.742
ma quỷ	0.742
Hôi	0.734
bị đau	0.734
sự thoái hóa	0.734
đóng đinh	0.734
đáng khinh	0.734
ung thư	0.734
chủ nghĩa khủng bố	0.734
tàn ác	0.727
dơ bẩn	0.727
bệnh lỵ	0.727
ngoại tình	0.727
rùng rợn	0.727
mối thù ghét	0.727
thuốc xổ	0.727
sự lây lan	0.719
muck	0.719
dâm dục	0.719
khám nghiệm tử thi	0.719
Tổng	0.719
thô tục	0.719
dã man	0.719
luẩn quẩn	0.719
entrails	0.719
sự suy thoái	0.719
hăng hái	0.719
đổ máu	0.714
