sự ngạc nhiên	0.930
flabbergast	0.906
nổ tung	0.906
sự nổ	0.898
nổ	0.883
phục kích	0.883
phun trào	0.883
hoảng sợ	0.875
giật mình	0.875
gây sốc	0.875
thật ngạc nhiên	0.867
kịch tính	0.859
phép màu	0.859
bùng nổ	0.859
vụ nổ	0.852
báo thức	0.852
nổi loạn	0.844
sấm sét	0.844
sốc	0.844
tiếng nổ	0.836
tai biến	0.836
trường hợp khẩn cấp	0.828
đáng ngạc nhiên	0.828
choáng váng	0.820
jackpot	0.812
động đất	0.812
thảm họa	0.812
cực điểm	0.805
awestruck	0.797
bom	0.789
phun ra	0.789
sự kinh ngạc	0.781
kích nổ	0.773
đáng báo động	0.773
xâm lược	0.773
cuộc đột kích	0.773
bắt cóc	0.766
stupefy	0.758
áp đảo	0.758
dumfound	0.758
không thể đoán trước	0.758
thất thường	0.750
Tai nạn	0.750
thái quá	0.750
nao núng	0.742
blitz	0.742
sự hóa đá	0.742
kinh dị	0.742
xác tàu	0.742
stupefaction	0.734
sự phấn khích	0.734
điên cuồng	0.734
tai nạn	0.734
đột nhiên	0.727
rùng mình	0.727
biến mất	0.727
moonstruck	0.727
phản đối kịch liệt	0.727
hoang mang	0.719
phá hoại	0.719
tiếng rít lên	0.719
hết hơi	0.719
hét lên	0.719
ngộ sát	0.719
vỡ	0.719
bất ngờ	0.711
không kiểm soát được	0.711
điện khí	0.711
làm choáng váng	0.711
bắn	0.711
lở tuyết	0.711
thở hổn hển	0.711
đột ngột	0.703
không lường trước được	0.703
sập	0.703
dâng trào	0.703
kẻ đột nhập	0.703
sự tàn phá	0.703
sự biến động	0.695
chưa từng thấy	0.695
cú đâm	0.695
la lên	0.695
đình công	0.695
tàn sát	0.688
đẹp mắt	0.688
đáng kinh ngạc	0.688
hồi hộp	0.680
sự liều lĩnh	0.680
tát	0.680
quái dị	0.680
tình cờ	0.672
nổi bật	0.672
sự vui mừng	0.672
kẻ khủng bố	0.672
không thể giải thích được	0.672
thú vị	0.672
núi lửa	0.664
Cuộc cách mạng	0.664
gây cháy	0.656
cuộc nổi loạn	0.656
lẻn	0.656
đổ máu	0.656
kinh ngạc	0.648
lốc xoáy	0.648
hung bạo	0.648
gián đoạn	0.648
say mê	0.648
không ngờ	0.648
sự thay đổi	0.648
ngoài ý muốn	0.648
dịch bệnh	0.648
kêu lên	0.641
kích thích	0.641
xáo trộn	0.641
kêu la	0.641
cháy rừng	0.641
sự ngẫu hứng	0.641
bất thường	0.633
sự xuất hiện	0.633
