tra tấn	0.984
kẻ khủng bố	0.969
chủ nghĩa khủng bố	0.969
giết chết	0.962
kẻ giết người	0.953
tai biến	0.953
chết	0.948
ném bom	0.938
bom	0.935
kinh dị	0.923
khủng bố	0.922
sự tàn bạo	0.922
khát máu	0.922
kinh hoàng	0.906
cắt xén	0.906
thiêu hủy	0.906
con quỷ	0.906
đóng đinh	0.891
chịu số phận	0.888
bị đầu độc	0.886
tự tử	0.879
sự nổ	0.879
giết mổ	0.875
phân chia	0.875
tai hại	0.875
thảm họa	0.875
đe doạ	0.875
sự nghẹt thở	0.875
kẻ ám sát	0.875
hãm hiếp	0.870
Địa ngục	0.860
giết người	0.859
chiến tranh	0.859
bệnh than	0.859
nổ	0.859
bị tê liệt	0.859
quấy rầy	0.859
ma quỷ	0.859
đổ máu	0.859
kinh sợ	0.859
lò mổ	0.859
máy chém	0.859
đao phủ	0.859
nghẹt thở	0.858
sự phản bội	0.856
đau thương	0.844
sợ	0.844
chết chìm	0.844
phá hủy	0.844
quái vật	0.844
slayer	0.844
sự ghê tởm	0.844
chấp hành	0.844
đáng sợ nhất	0.844
hoảng hốt	0.844
tận thế	0.844
hóa đá	0.844
tà ác	0.833
ám sát	0.828
chết người	0.828
tay súng	0.828
nỗi sợ	0.828
sự chết	0.828
kẻ đột nhập	0.828
ung thư	0.828
lựu đạn	0.828
cơn ác mộng	0.828
nổ tung	0.828
bị bắt cóc	0.828
diệt trừ	0.828
ngày tận thế	0.828
ngộ sát	0.828
hoảng sợ	0.828
dã man	0.814
nghiền	0.812
bạo lực	0.812
chụp	0.812
động đất	0.812
hung bạo	0.812
độc	0.812
trận động đất	0.812
sự chết tiệt	0.812
kẻ xâm lăng	0.812
bão	0.811
tiêu diệt	0.810
xuất huyết	0.807
gây chết người	0.806
nọc độc	0.804
-chứng sợ kín	0.803
rắn	0.802
trừ tà	0.800
xóa sạch	0.800
khiếp sợ	0.798
tử vong	0.797
hủy diệt	0.797
xianua	0.797
tính quái dị	0.797
sự phá hủy	0.797
chất độc	0.797
không thể chữa được	0.797
arson	0.794
bạo chúa	0.788
hư mất	0.784
maniac	0.781
làm nô lệ	0.781
hung hăng	0.781
la hét	0.781
dính máu	0.781
địa ngục	0.766
