дилбастагӣ	0.969
мотор	0.969
фоҷиабор	0.961
Ҳолокост	0.953
einceanasia	0.927
Муборак аст	0.920
марг	0.915
худкушӣ	0.912
таваллуд	0.891
мурд	0.875
вайрон шудааст	0.875
таҷовуз	0.875
саратон	0.875
чапакзанӣ	0.859
иҷрои	0.859
тарк кардан	0.859
кадрӣ	0.853
хиёнаткорона	0.848
нобуд карда шуданд	0.844
таъқибот	0.844
ҷашн	0.844
забҳ кардан	0.844
ваҳшӣ	0.844
ранҷ	0.844
хондан	0.833
ҷаримавӣ	0.833
бепарвоёна	0.830
бемориҳо	0.828
ғуломӣ буд	0.828
хандон	0.828
нест кардан	0.828
ҷарима	0.828
нобоварӣ	0.824
гуруснагӣ	0.812
таҳрик	0.812
садамаҳо	0.812
ханда	0.812
терроризм	0.812
хунӣ	0.806
малина	0.803
фавтидааст	0.802
Сарcoma	0.797
зинда нест	0.797
ҳалок шуд	0.797
шадидтар	0.797
galleries	0.797
мурдааст	0.797
вайроншавии	0.797
кушиш кунед	0.797
ғулом	0.797
лакемия	0.797
дафн	0.781
дил	0.781
ихтиёрӣ	0.781
террористӣ	0.781
линч	0.773
азоб мекашад	0.770
марговар	0.766
қабристон	0.766
шиканҷа	0.766
аборт	0.766
шодбошӣ	0.766
тарсидем	0.766
фалокат	0.758
Озодӣ "	0.758
маҳкумшуда	0.754
депрессия	0.750
андӯҳгин	0.750
дардовар	0.750
ногаҳонӣ	0.750
hemorrhage	0.750
хушбахт	0.750
пандемия	0.750
ҷасади	0.750
шикаст хӯрдааст	0.750
қурбонӣ карда шуд	0.750
бемор шудан	0.750
террорист	0.750
incest	0.750
пушаймони	0.750
беадолатӣ	0.745
рабудан	0.742
куштор	0.734
ятим	0.734
қатл	0.734
morgue	0.734
ҷанг	0.734
Мутаассифона	0.727
бегона шуд	0.727
фардо	0.722
заъиф	0.719
бадкирдор	0.719
дарофагӣ	0.719
шарм дорад	0.719
махав	0.719
дод заданд	0.719
вой	0.719
дуд	0.719
тарк карда мешавад	0.719
нопадид аст	0.719
Хатар	0.719
андар	0.719
бемор аст	0.712
пӯшидааст	0.710
мусибат	0.709
қурбонӣ	0.703
ғайриинсонӣ	0.703
ҷудо кардан	0.703
ҷазо додан	0.703
Метавонад	0.703
дағалона	0.703
гилхок	0.703
humiliate	0.703
таназзул	0.703
гӯш кунед	0.703
дафн карданд	0.703
carcinoma	0.703
кист?	0.703
дуюм	0.703
сангин	0.703
зиндагонӣ	0.700
Ҷаҳаннам	0.700
барҳам диҳед	0.697
вайрон шуд	0.697
кӯчонида шудааст	0.691
камбизоатӣ	0.690
умедворам	0.688
бевазан	0.688
хастагӣ	0.688
сеҳрнокӣ	0.688
суст шудааст	0.688
тирандозӣ	0.688
стаб	0.688
дилсӯзона	0.688
ҳамеша танҳо	0.688
dementia	0.688
тӯҳмат	0.688
эпидемия	0.688
дандонҳо	0.688
Терминал	0.688
беэътиноӣ мекунад	0.688
пушаймонӣ	0.688
озод карда мешаванд	0.688
талафот	0.688
бегона кардан	0.685
нафасгир шудан	0.682
хунрезӣ	0.673
заҳри	0.672
гори	0.672
