thabile ka ho fetisisa	0.986
sehlabelo	0.944
hello	0.938
loveee	0.932
ho tšabeha	0.926
ka thabo	0.922
teboho	0.914
happydance	0.912
ba thabile haholo	0.909
ho nyakalla	0.906
e thabile	0.894
lovetis	0.891
tšeha	0.891
menyaka	0.891
Nyakalletse	0.891
leratolife	0.875
khaotsa	0.875
ke thabile	0.868
boohoo	0.864
ho tšeha	0.864
hooray	0.859
e ketekoa	0.859
hallelujah	0.859
e thabetse	0.851
mademyday	0.848
keteka	0.844
tlhohonolofatso	0.844
ka mokhoa o makatsang	0.844
hlohonolofalitsoe	0.833
paradeise	0.833
mekete	0.833
ho bososela	0.828
lapeng moo ho le monate	0.826
litšeho	0.824
ho utloahala	0.818
happyheart	0.818
molemo	0.818
ho hl ¯ ola	0.812
bonanza	0.812
smiley	0.812
thabela	0.812
nako e ntle	0.811
letsatsi le thabileng	0.809
thatohatsi ea ka	0.804
khaola	0.802
li-yesss	0.797
thabile hape	0.797
ho tantša	0.797
lovinlife	0.797
thabile	0.788
tlotlisa	0.781
solucky	0.781
ho ferekana	0.781
maholimo	0.779
phetheho	0.779
kristmassy	0.779
e thabisang	0.776
fiesta	0.773
congrats	0.773
cheers	0.773
positivity	0.773
letsatsi le monate	0.772
ho thabela	0.771
ho senyeha	0.766
lifeisgood	0.766
ea mantlha	0.766
tsoekere hoo	0.766
oa bososela	0.766
orgasm	0.765
ho thaba	0.758
mehlolo	0.758
motsoalle ea ratehang	0.758
nako ea christmas	0.757
khadi	0.757
ho thabisa	0.750
e tšeha	0.750
boholo	0.750
litlhohonolofatso	0.750
bososela	0.750
mohlolo	0.742
jubilee	0.742
feelgood	0.736
tlhōlo	0.734
e hlollang	0.734
tse mabothobotho	0.734
tgif	0.734
bina	0.729
phethahala	0.728
yessss	0.728
moriri	0.727
leboha	0.727
hurray	0.727
santa	0.727
atpeace	0.727
phefumoloho	0.725
o thabetse	0.725
radiance	0.725
tsosoa	0.723
thabo	0.721
tumellano	0.719
ho tloha botebong ba pelo	0.719
li-utopiana	0.719
xmas	0.719
ho rorisa	0.719
katleho	0.712
boselamose	0.712
matsatsi a phomolo	0.712
e monate haholo	0.712
mabothobotho	0.712
matlotlo	0.712
shatee	0.712
e haufi-ufi	0.710
khahlela	0.706
hlaba	0.706
